full_text,ner
 اسم الطفل المرض محمد حرب رضوانمكان السكن خاراس الخليلموجود مستشفى النجاح بنابلسبحاجة لصفائح ضروريللتواصل الرقم عم الطفل,O O O O O O O O O O O O O O B-LOC O O
 طريق نابلس قلقيلية تواجد شرطة اسرائيلية وقوات الاحتلال دوار كدوميم تفتيش سيارات بشكل دقيق,Barr O O O B-ORG B-LOC O O Barr B-LOC STAT O O O
 رام الله طولكرم سالكة مية مية,O O O STAT O O
 حوارة رام الله سالكة هسا طلعت,B-LOC O O STAT O O
 قوات الاحتلال تقوم بتفتيش سيارات المواطنين بشكل دقيق دوار كدوميم طريق نابلس قلقيلية,O O O STAT O B-ORG O O Barr B-LOC Barr O O
 الخير حوارة سالك,O B-LOC STAT
 طريق صرة سالكة,Barr B-LOC STAT
 طريق حوارة كمان سالكة,Barr B-LOC O STAT
 حاجز صرة سالك بالاتجاهين فش اشي,Barr B-LOC STAT O O STAT
 شافي شامرون سالك تواجد للجيش,B-LOC I-LOC STAT O B-ORG
بوابه يبرود فاتحه ؟؟؟ اه فاتحة,O O STAT O O STAT
 الخير للجميع معظم الطرق سالكه تمنياتي بسفره ميمونه,O O O O STAT O O O
 الكونتينر سالك,B-LOC STAT
 حوارة سالك,B-LOC STAT
 دوار يتسهار سالك,Barr B-LOC STAT
 شارع حوارة الرئيسي سالك,O B-LOC O STAT
 سيارة شرطة زعترة بنص الطريق واقف,O B-ORG B-LOC O Barr STAT
الخير الطريق رام الله نابلس اليوم ؟ سالكه,O Barr O O O O O STAT
بيت ايل ؟ سالكه,B-LOC I-LOC O STAT
 طريق بيت ايل سالكة بالاتجاهين,Barr B-LOC I-LOC STAT O
 سيارة شرطة عرضت بنص الشارع زعترة الي طالع حواره زعترة انتبهو,O B-ORG O O O B-LOC O O B-LOC B-LOC O
 اشارات بيت ايل سالكة,O B-LOC I-LOC STAT
 والله الطرق سالكه,O O STAT
الخيرشو وضع ترمسعيا سالكة,O O B-LOC STAT
 اشارات عوفرا سالكة,O B-LOC STAT
 بوابة يبرود فاتحة فاتحة,O O STAT STAT
 اشارات عيون الحرامية سالكة,O O O STAT
دير شرف ؟ سالكه,B-LOC I-LOC O STAT
 الطنيب سيارتين شرطة للي باتجاه طولكرم واللي باتجاه نابلس عالسايدين,O O B-ORG O O O O O O O
الطريق طولكرم لنابلس سالكة وجود شرطة,Barr O O STAT O B-ORG
 ترمسعيا سالكة,B-LOC STAT
 اشارات شيلو سالكة,O O STAT
 اشارات عيلي سالكة,O O STAT
الخير الطريق رام الله نابلس اليوم ؟ سالكة وفاضية,O Barr O O O O O STAT STAT
 شرطه عنابلس,B-ORG B-LOC
شرطه عنابلس تفتيش واقفين عادي,B-ORG B-LOC STAT STAT O
 دوار زعترة سالك وجود شرطة للي طالع حوارة زعترة بتصيدو,Barr B-LOC STAT O B-ORG O O B-LOC B-LOC O
 الشرطه زعتره الي طالع نابلس,B-ORG B-LOC O O O
 دوار بيتا سالك,Barr B-LOC STAT
 دوار عينابوس سالك,Barr O STAT
 دوار يتسهار سالك,Barr B-LOC STAT
طريق طولكرم يا شباب سالكة وجود شرطة,Barr O O O STAT O B-ORG
 مفرق يتسهار سالك,O B-LOC STAT
زعيم بعرفش شو مثبتين يعني عطيني الرقم اغلبك ارقام مجمعات تكاسي المدنرقم كراجات نابلس رام الله رقم مجمع كراجات طولكرم نابلس مجمع بلدية سلفيت مجمع جنينمجمع التكسيات قلقيلية مراقب خط طولكرم مجمع نابلس مراقب خط قلقيلية نابلس,O O O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 بوابة مادما مغلقة,O B-LOC STAT
 طريق يتسهار سالكة بالاتجاهين,Barr B-LOC STAT O
 حاجز صرة سالك بالاتجاهين,Barr B-LOC STAT O
 مفرق الطنيب سالك,O O STAT
 فاضيه الطريق,STAT Barr
اشي الشارع فاضي لقبل ربع الشرطة موجودة كانت زعترة,STAT O STAT O I-LOC B-ORG O O B-LOC
 شرطه عناب,B-ORG B-LOC
 مفرق الطنيب سالك,O O STAT
 سيارتين شرطة تدخل مفرق الطنيب للي رايح دير شرف وبخالفو,O B-ORG O O O O O B-LOC I-LOC O
 الكونتينر ازمه للطالع بيت لحم,B-LOC STAT O B-LOC O
 دوار دير شرف سالك,Barr B-LOC I-LOC STAT
 يا اخوان الرجاء الحيطة الان وصلت رام الله الطريق دير شرف لزعترة شرطة كثير,O O O O O O O O Barr B-LOC I-LOC B-LOC B-ORG O
 شرطه زعتره,B-ORG B-LOC
 حاجز مفرق الطنيب,Barr O O
 شرطة,B-ORG
 ختجز صرة مرقت سالك,O B-LOC O STAT
 حاجز,Barr
 بيت ايل سالك,B-LOC I-LOC STAT
 حاجز حومش بالاتجاهين,Barr O O
 حاجز حونش,Barr O
وين هاد حاجز الكونتينر,O O Barr B-LOC
 مريت الان زعترة فاضي شرطة,O O B-LOC STAT B-ORG
 طولكرم حوارة سالك,O B-LOC STAT
 زعترة سالك,B-LOC STAT
 شباب الدخول عنابلس سالك مسكرة الطرق؟,O O B-LOC STAT STAT O
 صباخ خير بوابه يبرود فاتحه,O O O O STAT
 مسكرة,STAT
شباب الدخول عنابلس سالك مسكرة الطرق؟ سالكة,O O B-LOC STAT STAT O STAT
صباخ خير بوابه يبرود فاتحه مرقت كانت فاتحة,O O O O STAT O O STAT
 حاجز حوارعه فاضي سالك,Barr O STAT STAT
 الكونتينر ازمه للي طالع باتجاه العيزريه,B-LOC STAT O O O B-LOC
وين هاد حاجز الكونتينر,O O Barr B-LOC
شو وضع حومش حاجز تفتيش سالكة,O O O Barr STAT STAT
دير شرف سالك ؟؟؟؟ سالكة شرطة عالطنيب,B-LOC I-LOC STAT O STAT B-ORG O
 سالكة شرطة عالطرق,STAT B-ORG O
 دير شرف سالك شرطة,B-LOC I-LOC STAT B-ORG
 بدي اسأل شباب بوابت يبرود فاتحا مسكره,O O O O O STAT STAT
 بوابة يبرود فاتحه,O O STAT
 زعترة ازمه ماشيه,B-LOC STAT STAT
 سالك,STAT
 عناب سالك,B-LOC STAT
 دير شرف مفرق الجنيدي سالك,B-LOC I-LOC O O STAT
خدا بعرفو ابعد,O O O
 يخي منحاول نوقفو,O O O
 مفرق جيت وصرة سالكات,O B-LOC B-LOC STAT
 المربعه فاتحه,B-LOC STAT
 حدا عندو علم المربعه فاتحه,O O O B-LOC STAT
 عودناكم يا اعزاء بوابة تل مغلقة,O O O O B-LOC STAT
 شباب الكتيب سيارتين شرطه بوقفة الي بيجي عبالهم انتبهوا,O O O B-ORG O O O O O
 الي خارج حواره باتجاه نابلس ازمة خفيفة دوار يتسهار,O O B-LOC O O STAT O Barr B-LOC
 قلنديا سالكة بلاتجاهين بالوقت الحالي,B-LOC STAT O O O
 الوجبة السريعة ازمة باتجاه زعترة,O O STAT O B-LOC
طريق اريحا والعيزريه كيف؟ سالكة,Barr O B-LOC O STAT
 شرطه عيون الحرميه,B-ORG O O
مرحبا شباب وضع حاجز جبع اللي رايح قلنديا سالك,O O O Barr B-LOC O O B-LOC STAT
الخير شو وضع طريق نابلس رام الله سالك,O O O Barr O O O STAT
 ازمة خانقة حوارة,STAT O B-LOC
ازمة خانقة حوارة هسا دخلت منو سالك فش ازمه,STAT O B-LOC O O O STAT O STAT
 شافي شمرون سالك,B-LOC I-LOC STAT
 جندي واقف كفر لاقف بوقف سيارات معو تويوتا,O STAT O O O O O O
الخير شو وضع طريق طولكرم رام الله سالكة,O O O Barr O O O STAT
 مدخل العيزرية ليش مأزم,O B-LOC O O
 فاضي,STAT
 رام الله باتجاه الشمال نابلس جنين طولكرم قلقيليه سالك يوجد سيارات شرطه,O O O O O O O O STAT O O B-ORG
 الخير حاجز عناب سالك بالاتجاهين وجود جب جيش حاليا,O Barr B-LOC STAT O O B-LOC B-ORG O
 صرة الان سالك,B-LOC O STAT
 رام الله الى نابلس طريق صرة سالكة,O O O O Barr B-LOC STAT
رام الله الى نابلس طريق صرة سالكة سالك,O O O O Barr B-LOC STAT STAT
 زعترة لدوار لبيتا ازمة خانقة,B-LOC Barr B-LOC STAT O
 زعترة أزمه باتجاه حواره,B-LOC O O B-LOC
 حاجز حوارة سالك بالاتجاهين,Barr B-LOC STAT O
 عتصون ازمة كبيرة,O STAT O
 الان حاجز لقوات الاحتلال خط تل المربعة,O Barr O O O B-LOC B-LOC
 الخير للجميع انقطاع ماشالله ماحدا مقصر السلامه للجميع,O O O O B-LOC O O O
 حاجز صره سالك تماما للجهتين حركه سير ماشيه,Barr B-LOC STAT B-LOC O O O STAT
صرة كيف؟؟ سالكة,B-LOC O STAT
 شارع ييتسهار سالك تماما حركه سير ماشيه للجهتين,O B-LOC STAT B-LOC O O STAT O
 حاجز صره يا شباب اما حركته سريعه,Barr B-LOC O O O O O
 بوابة مادما مغلقه جيش,O B-LOC STAT B-ORG
الخير للجميع انقطاع ماشالله ماحدا مقصر السلامه للجميع الحمد لله السلامهما تعيدها مره ثانيه,O O O O B-LOC O O O O O O O O O
 دوار ييتسهار حركه سير قويه للجهتين,Barr B-LOC O O O O
 لزمه دوار ييتسهار للي داخل نابلس,O Barr B-LOC O O O
 الازمه المعتاده الوجبه السريعه لدوار عينبوس,STAT O O O Barr O
 الترويحة صرة أزمة,O B-LOC STAT
 فاتحه,STAT
 ازمه الوجبه السريعه لدوار عينبوس للجهتين,STAT O O Barr O O
ازمه الوجبه السريعه لدوار عينبوس للجهتين شكلو ماشي قدامي هههه,STAT O O Barr O O O STAT O O
شكلو ماشي قدامي هههه ازمه,O STAT O O STAT
ازمه اربع صايدات شغالة فل,STAT I-LOC O O O
اربع صايدات شغالة فل للدوار سالك,I-LOC O O O Barr STAT
 دوار قدوميم شرطه,Barr B-LOC B-ORG
 ديرو بالكم,B-LOC O
 دوار بيتا سالك وازمه للي نازل زعتره لحواره,Barr B-LOC STAT STAT O O B-LOC O
 ازمه,STAT
 سيارة شرطة دوار قدوميم انتبهو مشددين,O B-ORG Barr B-LOC O O
 حاجز زعتره سالك تماما حركه سير ماشيه للجهتين,Barr B-LOC STAT B-LOC O O STAT O
 صرة سالك للداخل طالع حاجز,B-LOC STAT O O Barr
 ازمة وماشية للي نازل زعترة حواره,STAT STAT O O B-LOC B-LOC
شو وضع حاجز بيت فوريك سالك,O O Barr B-LOC I-LOC STAT
شو وضع حواره الحاجز الحاجز سالك حركه سير ماشيه,O O B-LOC Barr Barr STAT O O STAT
 حوارة أزمة دوار بيتا,B-LOC STAT Barr B-LOC
 حواره ازمه صحصح,B-LOC STAT O
 جنود شجر الزيتون حاجز صرة,O O O Barr B-LOC
شو وضع دير شرف واقف الحاجز وازمة,O O B-LOC I-LOC STAT Barr STAT
يتسهار ؟ سالك,B-LOC O STAT
 حاجز تفتيش هويات شافي شمرون,Barr STAT O B-LOC I-LOC
يتسهار دوار سلمان الفارسي شارع ييتسهار سالك للجهتين دوار ييتسهار حركه سير ماشيه لتوصل الدوار ازمه للجهتين,B-LOC Barr B-LOC I-LOC O B-LOC STAT O Barr B-LOC O O STAT O Barr STAT O
 شارع حواره الرئيسي ازمه للجهتين,O B-LOC O STAT O
 العيزرية ازمة زاطمخ زاطمه زاطممه,B-LOC STAT STAT STAT STAT
 اكيد اسمعت اخبار بحكو محسوم,O O O O Barr
 حاليا مافي حواجز مداخل اريحا,O O Barr O O
 يعطيكو العافيه ماحد يروح طريق المعرجات بالذات الشاحنات لانه تريلاخربانه الكوربات الضيقه,O O O O Barr O O O O O O O
 حواجز لاحتلال بالاتجاهين شافي شمرون,Barr O O B-LOC I-LOC
حاليا مافي حواجز مداخل اريحا دخلت اريحا شي,O O Barr O O O O O
 شارع حواره الرئيسي ازمه للجهتين,O B-LOC O STAT O
 دوار زعتره حركه سير ماشيه للجهتين,Barr B-LOC O O STAT O
 حاجز حوارة سالك مافي اشي ازمة خفيفه,Barr B-LOC STAT O STAT STAT O
 نابلس لرام الله حركه سير قويه وماشيه للجهتين,O B-LOC O O O O STAT O
 نابلس لصره للفندق لقلقيليه حركه سير ماشيه للجهتين,O B-LOC B-LOC O O O STAT O
 العيزربه ازمه للجهتين وعالدوار الرئيسي,O STAT O O O
 شافي شمرون ازمه الاتجاهين تفتيش,B-LOC I-LOC STAT O STAT
 حاجز حوارة,Barr B-LOC
 فاتحه,STAT
بوابة المربعه يا شباب المربعة اخر معلومة كانت حاجز,O B-LOC O O B-LOC O O O Barr
الطريق نابلس لرام الله سمحتى؟ حواره ازمه وباقي الطريق حركه سير طبيعيه مافي اشي,Barr O B-LOC O O B-LOC STAT O Barr O O O O STAT
مرحبا قلنديا للطالع رام الله وشكرا الازمه المعتاده حركه سير قويه ماشيه للجهتين قلنديا كفر عقب,O B-LOC O O O O STAT O O O O STAT O B-LOC O O
شباب بوابة تل فاتحه؟ مسكره بوابة مادما,O O B-LOC STAT STAT O B-LOC
سيارة شرطة دوار قدوميم انتبهو مشددين السلام عليكمبعدها الشرطة دوار قدوميم؟؟؟؟,O B-ORG Barr B-LOC O O O O B-ORG Barr O
السلام عليكمبعدها الشرطة دوار قدوميم؟؟؟؟ الشرطة راحت الدوار فى تواجد لسيارة شرطة سويل الفندق ودوار قدوميم,O O B-ORG Barr O B-ORG O Barr O O O B-ORG O B-LOC Barr B-LOC
 حاجز زعترة سالك ومافي جيش,Barr B-LOC STAT O B-ORG
 تقريباً فاضية وسالكة طريق نابلس رام الله,O STAT STAT Barr O O O
عتصيون للي رايح بإتجاه الشمال شو وضعها؟؟ حركه سير ماشيه ازمه عالاشاره للي طالع للخليل,O O O O O O O O O STAT STAT O O O O
 كامل خط يتسهار سالك ونظيف,O O B-LOC STAT STAT
 حاجز صرة سالك ونظيف كامل مفرق جت طولكرم سالك الاتجاهات,Barr B-LOC STAT STAT O O B-LOC O STAT O
 وردنا الآنتواجد لجنود الاحتلال مدخل بلدة بيتا وانتشارهم أشجار الزيتون ، شهود عيان يقومون بتصوير السيارات الماره مدخل البلدة,O O O O O O B-LOC O O O O O O O O O B-LOC O O
 سيارتين شرطة نزول العيزرية لاريحا ومخالفات بالهبل,O B-ORG O B-LOC O O O
 حاجز حواره ازمه خانقه,Barr B-LOC STAT O
 حاجز عناب طولكرم سالك ونظيف,Barr B-LOC O STAT STAT
 دوار قدوميم سالك شي,Barr B-LOC STAT O
شو وضعمداخل اريحا مداخل اريحا سالكه حركه سير طبيعيه,O O O O O STAT O O O
وضع قلنديا الازمه المعتاده للجهتين,O B-LOC STAT O O
اشي لمربعه حاجز وحاليا سالك,STAT B-LOC Barr O STAT
